objectid,title,date,object_location,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,image_small,image_thumb
coll010,Women of the century: a commemorative program of the Distinguished Women of North Carolina Awards Banquet,2000,https://digital.ncdcr.gov/Documents/Detail/women-of-the-century-a-commemorative-program-of-the-distinguished-women-of-north-carolina-awards-banquet./2347522,,North Carolina Council for Women.,,This program gives short biographies for distinguished women who have served as legislators for North Carolina.  The program lists winners of the Dinstiguished Women's Award from 1984 to 1999.,,North Carolina Council for Women--Awards; Women legislators--North Carolina--Biography; Women--North Carolina--Awards; Women--North Carolina--Biography,North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_women_womenofthecentury2000,State Document,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/women-of-the-century-a-commemorative-program-of-the-distinguished-women-of-north-carolina-awards-banquet./2347522,/objects/small/10womenofthecentury2000_sm.jpg,/objects/small/10womenofthecentury2000_sm.jpg
coll011,"Women's history month in North Carolina: a salute to women in history, March 1991-1992",1991-1992,https://digital.ncdcr.gov/Documents/Detail/womens-history-month-in-north-carolina-a-salute-to-women-in-history-march-1991-1992/2347525,,,,"Cover title: North Carolina women's history month, March 1991- 1992.;Includes bibliographical references (p. 32-37) and filmography (p. 38-43).",,Women--United States--History; Women--North Carolina--History,North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_women_womenshistorymonth1991,State Document,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/womens-history-month-in-north-carolina-a-salute-to-women-in-history-march-1991-1992/2347525,/objects/small/11womenshistorymonth1991_sm.jpg,/objects/small/11womenshistorymonth1991_sm.jpg
coll012,Equal suffrage : address,1914,https://digital.ncdcr.gov/Documents/Detail/equal-suffrage-address/501446,,"Clark, Walter, 1846-1924.",,Chief Justice Walter Clark's statement on Women's Suffrage,,North Caroliniana; Women--Suffrage,Richmond; Richmond (city); Virginia,,,,,General Collection. State Library of North Carolina,,,gen_spc_equalsuffrageaddress1914.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/equal-suffrage-address/501446,/objects/small/12clarkequalsuffrageaddress1914_sm.jpg,/objects/small/12clarkequalsuffrageaddress1914_sm.jpg
coll013,"Mary Mendenhall Hobbs : a lecture delivered at Guilford College, on Founders Day, 1955",1955,https://digital.ncdcr.gov/Documents/Detail/mary-mendenhall-hobbs-a-lecture-delivered-at-guilford-college-on-founders-day-1955/5525188,,"Doak, Frances Renfrow.",,Formatted contents -- Private property and its constitutionalisation -- Private property protection in China's constitutions : a historical review -- Symbolised public interest -- Unjust compensation -- Ineffective procedural and institutional mechanisms -- Concluding remarks and suggested reform measures,,"Hobbs, Mary Mendenhall, 1852--1930",France,,,,,Biography Collection. State Library of North Carolina,,,gen_9396326_mary1955,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/mary-mendenhall-hobbs-a-lecture-delivered-at-guilford-college-on-founders-day-1955/5525188,/objects/small/13maryhobbs_sm.jpg,/objects/small/13maryhobbs_sm.jpg
coll014,"Tributes to Dr. Elizabeth Delia Dixon Carroll, the Meredith auditorium, November 4, 1934",1934,https://digital.ncdcr.gov/Documents/Detail/tributes-to-dr.-elizabeth-delia-dixon-carroll-the-meredith-auditorium-november-4-1934/5525192,,,,"Tributes to Dr. Elizabeth Delia Dixon Carroll from students, alumnus, and faculty.",,"Carroll, Elizabeth Delia Dixon, 1827-1934; Old State Library Collection",Raleigh; Wake County; North Carolina,,,,,Biography Collection. State Library of North Carolina,,,gen_9378446_tributes1934,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/tributes-to-dr.-elizabeth-delia-dixon-carroll-the-meredith-auditorium-november-4-1934/5525192,/objects/small/14tributeselizabethcarroll_sm.jpg,/objects/small/14tributeselizabethcarroll_sm.jpg
coll015,"Everywoman's magazine [1916 : October, v.1 : n.1]",1916-10,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1916-october-v.1-no.1/1659678,,,,"Volume 1, number 1 (October 1916)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0007.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0066.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1916-october-v.1-no.1/1659678,/objects/small/15everywomans1916_10_sm.jpg,/objects/small/15everywomans1916_10_sm.jpg
coll016,"Everywoman's magazine [1916 : December, v.1 : n.2]",1916-12,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1916-december-v.1-no.2/1659679,,,,"Volume 1, number 2 (December 1916)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0067.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0132.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1916-december-v.1-no.2/1659679,/objects/small/16everywomans1916_12_sm.jpg,/objects/small/16everywomans1916_12_sm.jpg
coll017,"Everywoman's magazine [1917 : January, v.1 : n.3]",1917-01,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-january-v.1-no.3/1659680,,,,"Volume 1, number 3 (January 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0133.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0190.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-january-v.1-no.3/1659680,/objects/small/17everywomans1917_01_sm.jpg,/objects/small/17everywomans1917_01_sm.jpg
coll018,"Everywoman's magazine [1917 : February, v.1 : n.4]",1917-02,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-february-v.1-no.4/1659681,,,,"Volume 1, number 4 (February 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0191.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0248.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-february-v.1-no.4/1659681,/objects/small/18everywomans1917_02_sm.jpg,/objects/small/18everywomans1917_02_sm.jpg
coll019,"Everywoman's magazine [1917 : March, v.1 : n.5]",1917-03,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-march-v.1-no.5/1659682,,,,"Volume 1, number 5 (March 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0249.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0306.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-march-v.1-no.5/1659682,/objects/small/19everywomans1917_03_sm.jpg,/objects/small/19everywomans1917_03_sm.jpg
coll020,"Everywoman's magazine [1917 : April, v.1 : n.6]",1917-04,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-april-v.1-no.6/1659683,,,,"Volume 1, number 6 (April 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0307.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0352.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-april-v.1-no.6/1659683,/objects/small/20everywomans1917_04_sm.jpg,/objects/small/20everywomans1917_04_sm.jpg
coll021,"Everywoman's magazine [1917 : May, v.1 : n.7]",1917-05,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-may-v.1-no.7/1659684,,,,"Volume 1, number 7 (May 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0353.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0382.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-may-v.1-no.7/1659684,/objects/small/21everywomans1917_05_sm.jpg,/objects/small/21everywomans1917_05_sm.jpg
coll022,"Everywoman's magazine [1917 : June-July, v.1 : n.9]",1917-06 - 1917-07,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-june-july-v.1-no.9/1659685,,,,"Volume 1, number 9 (June-July 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0383.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0444.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-june-july-v.1-no.9/1659685,/objects/small/22everywomans1917_06_sm.jpg,/objects/small/22everywomans1917_06_sm.jpg
coll023,"Everywoman's magazine [1917 : August, v.1 : n.10]",1917-08,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-august-v.1-no.10/1659686,,,,"Volume 1, number 10 (August 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0445.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0462.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-august-v.1-no.10/1659686,/objects/small/23everywomans1917_08_sm.jpg,/objects/small/23everywomans1917_08_sm.jpg
coll024,"Everywoman's magazine [1917 : September-October, v.1 : n.11]",1917-09 - 1917-10,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-september-october-v.1-no.11/1659687,,,,"Volume 1, number 11 (September-October 1917)",,Southern States--Social life and customs; Women--North Carolina--Periodicals; Women--Southern States--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0463.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0484.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-september-october-v.1-no.11/1659687,/objects/small/24everywomans1917_09_sm.jpg,/objects/small/24everywomans1917_09_sm.jpg
coll025,"Everywoman's magazine [1917 : November, v.1 : n.12]",1917-11,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-november-v.1-no.12/1659688,,,,"Volume 1, number 12 (November 1917)",,Southern States--Social life and customs; Women--Southern States--Periodicals; Women--North Carolina--Periodicals,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_12149622_everywomans191610191711v1n1-12_0485.tif-gen_serial_12149622_everywomans191610191711v1n1-12_0521.tif,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/everywomans-magazine-1917-november-v.1-no.12/1659688,/objects/small/25everywomans1917_11_sm.jpg,/objects/small/25everywomans1917_11_sm.jpg
coll026,North Carolina Federation of Woman's Clubs [1905-1906],1905-1906,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womans-clubs-1905-1906/501798,,North Carolina Federation of Women's Clubs.,,1905-1906 Yearbook,,North Carolina Federation of Women's Clubs; Women--North Carolina--Societies and clubs--Periodicals,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_bm_serial_fedwomensclub190506.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womans-clubs-1905-1906/501798,/objects/small/26fedwomensclub1905_sm.jpg,/objects/small/26fedwomensclub1905_sm.jpg
coll027,North Carolina Federation of Women's Clubs [1909-1910],1909-1910,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1909-1910/501801,,North Carolina Federation of Women's Clubs.,,1909-1910 Yearbook,,North Carolina Federation of Women's Clubs; Women--North Carolina--Societies and clubs--Periodicals,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_bm_serial_fedwomensclub190910.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1909-1910/501801,/objects/small/27fedwomensclub1909_sm.jpg,/objects/small/27fedwomensclub1909_sm.jpg
coll028,North Carolina Federation of Women's Clubs [1913-1914],1913-1914,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1913-1914/501810,,North Carolina Federation of Women's Clubs.,,1913-1914 Yearbook,,North Carolina Federation of Women's Clubs; Women--North Carolina--Societies and clubs--Periodicals,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_bm_serial_fedwomensclub191314.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1913-1914/501810,/objects/small/28fedwomensclub1913_sm.jpg,/objects/small/28fedwomensclub1913_sm.jpg
coll029,North Carolina Federation of Women's Clubs [1916-1917],1916-1917,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1916-1917/501815,,North Carolina Federation of Women's Clubs.,,1916-1917 Yearbook. Compiled and edited by Miss Clara I. Cox.,,North Carolina Federation of Women's Clubs; Women--North Carolina--Societies and clubs--Periodicals,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_bm_serial_fedwomensclub191617.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/north-carolina-federation-of-womens-clubs-1916-1917/501815,/objects/small/29fedwomensclub1916_sm.jpg,/objects/small/29fedwomensclub1916_sm.jpg
coll030,"Tar heel junior historian [1994 : spring, v.33 : no.2]",1994,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1994-spring-v.33-no.2/3700404,,,,"Volume 33, number 2 (spring 1994)",,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals",North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_serial_6740319_tar1994v33n2,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1994-spring-v.33-no.2/3700404,/objects/small/30tar1994_sm.jpg,/objects/small/30tar1994_sm.jpg
coll031,Status of women in North Carolina: presented to the 1975 North Carolina General Assembly,1974-1975,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-presented-to-the-1975-north-carolina-general-assembly/2347511,,North Carolina Commission on the Education and Employment of Women.,,1st ed.; Bibliography: p. 201-205.,,Women--North Carolina--Statistics,North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_women_statusofwomen1974,State Document,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-presented-to-the-1975-north-carolina-general-assembly/2347511,/objects/small/31statusofwomen1974_sm.jpg,/objects/small/31statusofwomen1974_sm.jpg
coll032,Status of women in North Carolina : employment &amp; earnings,2018-06,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-employment-earnings/3689201,,"Anderson, Julie.",,June 2018.; Includes bibliographical references (pages 42-43).,,Wages--Women--North Carolina; Women--Employment--North Carolina; Working class women--North Carolina,North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_1047607672_status201806,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/status-of-women-in-north-carolina-employment-earnings/3689201,/objects/small/32status2018_sm.jpg,/objects/small/32status2018_sm.jpg
